frectal;tal;freceq;eq;frecsq;sq;freciir;iir
10;-0.462;10;0.425;10;1.265;10;0.392
100;-0.241;100;1.035;100;0.915;100;-0.158
200;0.000;200;0.446;200;0.828;200;0.243
300;0.288;300;0.436;300;0.714;300;-0.062
400;-2.294;400;0.317;400;0.599;400;-0.187
500;-1.310;500;0.172;500;0.364;500;-0.214
600;-1.418;600;0.000;600;0.221;600;-0.380
700;-0.617;700;-0.252;700;-0.125;700;-0.511
800;-0.724;800;-0.524;800;-1.339;800;-0.644
900;-0.915;900;-0.915;900;-0.644;900;-0.778
1000;-1.054;1000;-1.339;1000;-0.915;1000;-0.833
1200;-1.412;1200;-2.632;1200;-1.633;1200;-1.195
1400;-1.722;1400;-4.437;2000;-4.956;1400;-1.633
1600;-2.129;1600;-7.075;3000;-11.545;1600;-2.032
1800;-2.457;1800;-10.881;3500;-14.371;1800;-2.700
2000;-5.008;2000;-16.074;4000;-22.542;2000;-2.923
2500;-3.781;2500;-21.784;4500;-36.391;2500;-9.580
3000;-4.480;3000;-21.686;5000;-36.258;3000;-22.772
10000;-12.971;;;5500;-30.238;3200;-25.769
20000;-16.902;;;6000;-17.173;3500;-30.630
;;;;7000;-15.987;3800;-33.128
;;;;8000;-13.527;4000;-36.650
;;;;9000;-8.481;5000;-42.671
;;;;10000;-6.726;;
